"","title","links.href","time","description","author.name"
"147","Weibo Women’s “Armpit Hair Contest”","http://www.whatsonweibo.com/weibo-womens-armpit-hair-contest/",2015-06-12,"An online “Armpit Hair Contest” has fuelled social media discussions on female aesthetics in China. As many women posted selfies on Sina Weibo showing off their hairy armpits, not all netizens agreed on their beauty. But for initiator Xiao Meili, the contest has fulfilled its purpose.","Yiying Fan"
"148","China’s Noodle War Has Just Begun","http://www.whatsonweibo.com/chinas-noodle-war-has-just-begun/",2015-06-14,"An issue over noodles in the south of China has gotten so out of hand that the government has now stepped in. China’s most famous noodles, Lanzhou Beef Noodles, are at the center of this dispute. The main question: who’s the boss in the world of Chinese noodles?","Manya Koetse"
"149","North Korea: Connecting To The World? (Live Blog)","http://www.whatsonweibo.com/north-korea-connecting-to-the-world/",2015-06-15,"North Korea remains one of the most isolated countries in the world, yet it appears in international headlines every day. Understanding the current North Korean situation and its moves in foreign diplomacy are not just important for its neighbours – it’s of great significance to the international community. Today, two former top officials from North and South Korea talk about their first-hand experiences on North Korea’s foreign affairs.","Manya Koetse"
"150","I’m Getting Arrested – The App for Blacklisted China","http://www.whatsonweibo.com/im-getting-arrested-the-app-for-blacklisted-china/",2015-06-18,"As China is seeing a major crackdown on lawyers, activists and scholars, some on China’s blacklist trust the I’m Getting Arrested app to inform their friends, family or legal team in case they suddenly get cuffs slapped on them.","Manya Koetse"
"151","China’s Stolen Children – Why Babies Are Booming Business","http://www.whatsonweibo.com/chinas-stolen-children-why-babies-are-booming-business/",2015-06-22,"In China, around 70,000 children are kidnapped and sold on the black market every year. As the internal trafficking of children has become a serious social problem, Weibo netizens are crying out for help.","Fan Bai"
"152","20 Facts About Dogs & Dog-Eating in China","http://www.whatsonweibo.com/20-facts-about-dogs-dog-eating-in-china/",2015-06-23,"Yulin’s dog-eating festival has caused outrage, both within China as internationally. But it is said that what dragon steak is in heaven, dog meat is on earth. Time for 20 facts about dogs and dog-eating in China.","Manya Koetse"
"153","The Battle between Tiger Mom and Cat Dad","http://www.whatsonweibo.com/the-battle-between-tiger-mom-and-cat-dad/",2015-06-24,"China’s latest TV hit ‘Tiger Mom, Cat Dad’ has sparked online debates over the best parenting style. Is it better to be an iron-fisted tiger mom, or a relaxed cat dad?","Yiying Fan"
"154","Should Human Traffickers Be Sentenced to Death?","http://www.whatsonweibo.com/should-human-traffickers-be-sentenced-to-death/",2015-06-25,"null","Liang Zichao"
"155","“Black Friday” – Chinese Reactions On 26/06 Deadly Attacks","http://www.whatsonweibo.com/black-friday-chinese-reactions-on-2606-deadly-attacks/",2015-06-26,"Three gruesome terror attacks in France, Tunisia and Kuwait sent shock waves through the world on June 26, immediately making international headlines. Chinese netizens following the news take their shock and anger online.","Manya Koetse"
"156","Review: China Online – Netspeak & Wordplay by Chinese Internet Users","http://www.whatsonweibo.com/review-china-online-netspeak-wordplay/",2015-06-30,"China’s Internet is a hot topic nowdays. With more and more books published on the topic, What’s on Weibo picked a recent one to review. This edition: China Online – Netspeak & Wordplay Used By Over 700 Million Chinese Internet Users by Véronique Michel, Tuttle Publishing, 2015, 159 pages.","Manya Koetse"
"157","‘Fifteen of Us’: This is the Chinese Utopia","http://www.whatsonweibo.com/fifteen-of-us-this-is-the-chinese-utopia/",2015-07-07,"Fifteen people with different backgrounds build a new society: one place, hundreds of camera’s, starting from scratch. The format of Dutch reality TV programme Utopia has now made it to China. The question is: what will Chinese Utopia look like? Who are the contestants? Will their society be communist or capitalist? What’s on Weibo brings you an overview of the show thus far.","Manya Koetse"
"158","Why China’s Ivy League Universities Are Mad at Each Other","http://www.whatsonweibo.com/why-chinas-ivy-league-universities-are-mad-at-each-other/",2015-07-07,"As high school graduates are applying for university, an online feud between China’s ivy league schools has gone viral. It turns out that China’s universities will go to extremes to enroll the best students of the country.","Manya Koetse"
"159","Beware: 10 Scams in China To Watch Out For","http://www.whatsonweibo.com/10-scams-in-china-to-watch-out-for/",2015-07-09,"As times change, so do scams. In an age of smartphones and social media, Chinese scammers are more prone to abandon old tricks and use new technology for their swindling business. But apart from new media and online fraud, there are still scammers who use people’s inexperience and desperation to earn money by simply fooling them on the streets. What’s on Weibo has compiled a list of 10 scams that are recently trending on social media or in China’s newspapers, victimising hundreds or thousands of people (including tourists) every day. ","Manya Koetse"
"160","How Uniqlo Became Trending on WeChat","http://www.whatsonweibo.com/how-uniqlo-became-trending-on-wechat/",2015-07-15,"null","Manya Koetse"
"161","“Divorced Yet?” – Why China Has a Soaring Divorce Rate","http://www.whatsonweibo.com/divorced-yet-why-china-has-a-soaring-divorce-rate/",2015-07-16,"The divorce rate in China increased to 3.9 percent over the last year, with 3.63 million couples bringing their marriage to an end, according to the latest data released by the Ministry of Civil Affairs. The rate has been rising for twelve consecutive years since 2003. “Have you divorced today?” (今天你离了吗) has recently become a common joke between Chinese people. While some blame China’s social media, others say the reasons for the soaring divorce rates can be found elsewhere.","Yiying Fan"
"162","“Funny Foreigners” – Weibo Reacts on Suntan Lotion Body Art","http://www.whatsonweibo.com/funny-foreigners-weibo-reacts-on-suntan-lotion-body-art/",2015-07-17,"null","Manya Koetse"
"163","20 Ways to Use Tiger Balm","http://www.whatsonweibo.com/20-ways-to-use-tiger-balm/",2015-07-22,"For many, Tiger Balm is a childhood household item. But for those born after the 1990s, the little red tin is something they only know from their grandmother’s cupboard. Reason enough for Sina News to publish a “20 ways to use Tiger Balm” on their Weibo account, instantly turning it into a trending topic (#清凉油的20个用法#).","Manya Koetse"
"164","From One-Child Policy to Two-Child Policy: Weibo Responds","http://www.whatsonweibo.com/from-one-child-policy-to-two-child-policy/",2015-07-27,"The expected changes in China’s one-child policy have created a buzz on social media and society at large. Although many netizens applaud the news that Chinese parents can soon have two children, some are more pessimistic. “The two-child policy comes too late,” some experts say.","Yiying Fan"
"165","Not ‘Leftover Women’ but ‘Leftover Men’ Are China’s Real Problem","http://www.whatsonweibo.com/not-leftover-women-but-leftover-men-are-chinas-real-problem/",2015-07-29,"China’s single young women have been put in the spotlight by Chinese media for years. But according to the state-run Xinhua News, it is not the women, but the single men that are China’s real problem.","Manya Koetse"
"166","One of China’s Most Famous Medicines is Made From Hairballs","http://www.whatsonweibo.com/one-of-chinas-most-famous-medicines-is-made-from-hairballs/",2015-07-30,"Some things never get old. Costly Chinese Traditional Medicine like ‘Angong Niuhuang’ are a much discussed and sold item on Chinese websites such as Sina Weibo or Taobao. The much-beloved Chinese medicine, that is also called one of China’s medicinal “treasures”, is quite unique: it is made of the ‘hairballs’ or ‘bezoars‘ that occur in the gall bladder of a cow or ox.","Manya Koetse"
"167","Overview of China’s 2015 Top TV Dramas","http://www.whatsonweibo.com/overview-of-chinas-2015-top-tv-dramas/",2015-08-02,"China is the largest consumer of television drama in the world, and TV series come up as trending topics on China’s social media every day. From costume dramas to soap operas, there is a new TV hit every month. What’s on Weibo discusses China’s most popular TV series of the summer of 2015. [Update March 2016: Also read our Top 10 of Most Popular TV dramas in China of 2016.]","Manya Koetse"
"168","China Does Not Allow Single Women To Freeze Their Eggs","http://www.whatsonweibo.com/china-does-not-allow-single-women-to-freeze-their-eggs/",2015-08-03,"Since a Chinese actress stated that she had her eggs frozen in the United States, an online discussion has erupted in Mainland China about the legality of single women freezing their eggs. Famous writer Han Han responds on Weibo: “Why are women not allowed to use their own eggs?”","Manya Koetse"
"169","17 Funny Weibo Trending Pics","http://www.whatsonweibo.com/17-funny-weibo-trending-pics/",2015-08-06,"What’s on Weibo brings you an overview of 17 of the most ridiculous and funny classic pictures that have been making their rounds on China’s social media.","Manya Koetse"
"170","Transsexual Chinese Woman Cannot Change Post-Surgery Gender","http://www.whatsonweibo.com/transgender-woman-cannot-change-official-gender-after-surgery/",2015-08-11,"null","Manya Koetse"
"171","Tianjin Explosion Shocks Weibo","http://www.whatsonweibo.com/tianjin-explosion-shocks-weibo/",2015-08-12,"null","Manya Koetse"
"172","The Sanlitun Stabbing & Uniqlo’s Marketing Nightmare","http://www.whatsonweibo.com/the-sanlitun-stabbing-uniqlos-marketing-nightmare/",2015-08-13,"It is turning out to be a tough year for the marketing department of Uniqlo, the large Japanese retail store for casual wear. After the infamous Uniqlo sex tape and slumping sales, a woman was stabbed in front of the Beijing flagship store today, once again tying the name of ‘Uniqlo’ to news events it does not want to be associated with.","Manya Koetse"
"173","Behind the Spotlights of Transgender China","http://www.whatsonweibo.com/behind-the-spotlights-of-transgender-china/",2015-08-14,"Transgenderism is becoming an increasingly popular topic on Chinese social media, as celebrities such as Jin Xing or Han Bingbing openly talk about their sex change, and many other Chinese transgenders step into the limelight of public attention. The general attitude towards transgenderism in China is seemingly tolerant, but what goes on behind the spotlights of transgender China?","Manya Koetse"
"174","Who is China’s Next Topmodel?","http://www.whatsonweibo.com/who-is-chinas-next-topmodel/",2015-08-19,"Following another China’s Next Top Model finale, China fashion blogger Elsbeth van Paridon wonders how China’s runway darlings are doing in the world of fashion modeling, and who ‘China’s Next Top Model’ actually is.","Elsbeth v Paridon"
"175","From Crayfish To Doughnuts – Chinese Netizens Fed Up With Food Scandals","http://www.whatsonweibo.com/from-crayfish-to-doughnuts-chinese-netizens-fed-up-with-food-scandals/",2015-08-25,"Two new food safety scandals has shaken China’s netizens. Popular chains Zheng Wen Qi Crayfish Donburi and Breadtalk are serving their customers contaminated and expired food. Weibo’s netizens have had enough.","Yiying Fan"
"176","“Too Loud, Too Rude”: Switzerland Introduces Separate Trains for Chinese Tourists","http://www.whatsonweibo.com/too-loud-too-rude-switzerland-introduces-separate-trains-for-chinese-tourists/",2015-08-27,"Switzerland has introduced special coaches for Chinese tourists, as locals consider them to be ‘loud’ and ‘rude’. The news has triggered mixed reactions amongst Weibo’s netizens.","Yiying Fan"
"177","Sinkhole Swallows People at Harbin Bus Stop","http://www.whatsonweibo.com/sinkhole-swallows-people-at-harbin-busstop/",2015-08-28,"A sinkhole in Harbin swallowed 4 people who were waiting for their bus this weekend. Security cameras captured the frightening moment.","Manya Koetse"
"178","Meet Vincent Lau: Weibo’s Controversial ‘Weirdo’","http://www.whatsonweibo.com/meet-vincent-lau-weibos-controversial-weirdo/",2015-08-29,"Plastic surgery news is no longer a novelty in China, where people who pursuit beauty are willing to spend thousands to millions for it. However, for one newly famous Weibo celebrity, the standard of beauty is outrageously different from the norm.","Jennifer Tang"
"179","20 Tons of Apples Stolen After Truck Accident","http://www.whatsonweibo.com/20-tons-of-apples-stolen-after-truck-accident/",2015-09-01,"Things went from bad to worse for one Chinese truck driver when he had a road accident last week. Not only did his truck turn over, but the 20 tons of apples he was transporting were looted by villagers. An unexpected twist came three days later.","Jennifer Tang"
"180","China’s First Television Commercial","http://www.whatsonweibo.com/chinas-first-television-commercial/",2015-09-03,"When China’s first television commercial was aired, many viewers did not know what they were seeing. But it became a hype, and people wanted to buy the advertised product anyway.","Manya Koetse"
"181","“China, I love you” – The 9/3 Military Parade","http://www.whatsonweibo.com/93-military-parade/",2015-09-03,"null","Manya Koetse"
"182","The Military Parade: Looking Back","http://www.whatsonweibo.com/the-military-parade-looking-back/",2015-09-05,"null","Jennifer Tang"
"183","Chinese Views on Europe’s Migrant Crisis: “The Road to Ruin”","http://www.whatsonweibo.com/chinese-views-on-europes-migrant-crisis-the-road-to-ruin/",2015-09-08,"The migrant crisis in Europe is dominating headlines and social media posts around the globe. Chinese media are also reporting on Europe’s “migrant wave” (“欧洲难民潮”), leading netizens to discuss the issue on Sina Weibo.","Manya Koetse"
"184","‘Happy Camp’ (快乐大本营)","http://www.whatsonweibo.com/happy-camp-%e5%bf%ab%e4%b9%90%e5%a4%a7%e6%9c%ac%e8%90%a5/",2015-09-09,"null","Manya Koetse"
"185","ISIS: Chinese and Norwegian Hostages For Sale","http://www.whatsonweibo.com/isis-chinese-and-norwegian-hostages-for-sale/",2015-09-10,"ISIS militants claim they have international hostages, including a Chinese man, and that they are ‘for sale’ for a limited time only. Weibo responds.","Manya Koetse"
"186","Student Helps Old Lady and is Accused – China’s Bystander Problem","http://www.whatsonweibo.com/student-helps-old-lady-and-is-accused-chinas-bystander-problem/",2015-09-11,"When an Anhui student was blamed for causing the fall of the elderly woman she helped, she decided to take matters into her own hands and look for eyewitnesses on Weibo. The case has now became a matter of online debate.","Manya Koetse"
"187","Where Are We Going, Dad?","http://www.whatsonweibo.com/where-are-we-going-dad/",2015-09-15,"null","Manya Koetse"
"188","‘Where Are We Going, Dad?’ Chinese TV Hit Show Causes Controversy After 4-Year-Old Boy Peeps on Girl","http://www.whatsonweibo.com/chinese-tv-hit-show-causes-controversy/",2015-09-15,"China’s top-rating reality TV show ‘Where Are We Going, Dad?’ has sparked heated online debates on sexual education, after a 4-year-old contestant peeped a little girl in the shower.","Jennifer Tang"
"189","Weibo Super Stars: Chinese Celebrities With Most Weibo Followers","http://www.whatsonweibo.com/weibo-super-stars-chinese-celebrities-with-most-weibo-followers/",2015-09-16,"They are China’s super stars and have the largest online fan base in the world. What’s on Weibo has compiled a top 10 of people with the most followers on Sina Weibo.","Manya Koetse"
"190","China’s First Fast Food Restaurant","http://www.whatsonweibo.com/chinas-first-fast-food-restaurant/",2015-09-17,"Not KFC or McDonald’s, but Yili was China’s very first fast food restaurant. Its opening in 1984 became the talk of the day.","Manya Koetse"
"191","An Introduction to Sina Weibo: Background and Status Quo","http://www.whatsonweibo.com/sinaweibo/",2015-09-21,"This is the What’s on Weibo Sina Weibo file, an introduction to China’s biggest microblog [last updated April 2016].","Manya Koetse"
"192","“What The F*ck is Communism?” – Discussion on Communism Takes over Weibo","http://www.whatsonweibo.com/what-the-fck-is-communism-discussion-on-communism-takes-over-weibo/",2015-09-22,"After reports of an overall declining faith in communism, the Communist Youth League reiterated their strong believe in communism on Weibo, under the slogan: “We are the successors of Communism”. Chinese opinion leader Ren Zhiqian publicly critiqued their stance. His post instantly became trending, igniting a hot online debate on communism.","Manya Koetse"
"193","Unique American Collection of Photographs from Late Qing","http://www.whatsonweibo.com/unique-american-collection-of-old-chinese-photos/",2015-09-23,"null","Manya Koetse"
"194","Coca Cola in China: “Not a Single Bottle of Coke Should Be Sold to Chinese”","http://www.whatsonweibo.com/coca-cola-in-china/",2015-09-24,"The first crates of Coca Cola arrived in Beijing in 1979. The majority of Chinese people had only known the drink from American movies, and were curious to try it out. Those who did, did not particularly like it.","Manya Koetse"
"195","Science Graduate Arranges the Moon to Propose","http://www.whatsonweibo.com/science-graduate-arranges-the-moon-to-propose/",2015-09-30,"A Science and Engineering graduate proposed to his girlfriend in a very special way. Instead of a ring, he gave her a gigantic 3D moon. It triggered online debates in China on the true meaning of marriage.","Jennifer Tang"
"196","One Year What’s on Weibo: Best-Read Top 3","http://www.whatsonweibo.com/one-year-whats-on-weibo-best-read-top-3/",2015-10-01,"It’s been a year since the current What’s on Weibo was launched. See our latest video to check out our top 3 of best-read articles.","Manya Koetse"
"197","Weibo Netizens: Chinese Guys Are Weaker Than Girls","http://www.whatsonweibo.com/weibo-netizens-chinese-guys-are-weaker-than-girls/",2015-10-02,"Many of China’s universities have too many girls, professors say, which is not good for the development of male students. ‘Nonsense’, Weibo users argue: Chinese guys are just weaker than girls.","Yiying Fan"
"198","Holiday Scam: Qingdao Restaurant Charges Shrimps Per Piece","http://www.whatsonweibo.com/holiday-scams-qingdao-restaurant-charges-shrimps-per-piece/",2015-10-05,"It’s holiday time in China. A time of seeing family, relaxing and getting scammed. Weibo netizens are angered over a Qingdao restaurant where customers unknowingly pay per shrimp, not per dish.","Manya Koetse"
"199","Japanese Authorities Accuse Chinese Tourists of Faking Accident","http://www.whatsonweibo.com/japanese-authorities-accuse-chinese-tourists-of-faking-accident/",2015-10-06,"Weibo netizens are feverishly discussing a traffic incident involving a Chinese person that occurred in Kyoto, Japan. Because of the incident, Japanese authorities recently posted public announcements warning shopkeepers not to give in to Chinese tourists that demand money after an accident. “Don’t be weak,” it says: “first call the police.”","Manya Koetse"
"200","Beijing Lamborghini Driver Crashes Into 8 Cars and Runs","http://www.whatsonweibo.com/beijing-lamborghini-driver-crashes-into-8-cars-and-runs/",2015-10-07,"After a collision with 8 different cars in downtown Beijing, the driver of a Lamborghini fled the scene, leaving one person injured.","Manya Koetse"
"201","China’s First Soap Opera – A National Craze","http://www.whatsonweibo.com/chinas-first-soap-opera/",2015-10-08,"China’s first soap opera caused a sensation across the nation. Sales of TV sets surged, and streets were empty when it aired. ‘Yearnings’ was the talk of the town, a 1990 hot topic.","Manya Koetse"
"202","Underground Plastic Surgery in China: Paying a High Price","http://www.whatsonweibo.com/underground-plastic-surgery-in-china-paying-a-high-price/",2015-10-09,"People are promised a beautiful transformation for just 200 yuan (31 US$) – but what price do they really pay? Underground plastic surgery shops are popping up like mushrooms in China, and they bring about more ugliness than beauty.","Manya Koetse"
"203","China’s Next Big Hit Is Guaranteed to Get Stuck in Your Head","http://www.whatsonweibo.com/chinas-trending-megahit-guaranteed-to-get-stuck-in-your-head/",2015-10-13,"The latest song by Chinese pop band Jiuyue Qiji (玖月奇迹), Cai Cai Cai, is taking over China with its “brainwashing melody”.","Manya Koetse"
"204","New Hot Job in China: “Mistress Discourager”","http://www.whatsonweibo.com/new-hot-job-in-china-mistress-discourager/",2015-10-14,"A new career is recently emerging in China. So-called “third person dissuaders” or “mistress discouragers” specialise in persuading mistresses to step back from their client’s marriage, and make an annual salary of approximately one million yuan (157,500 US$)","Yiying Fan"
"205","When Your Dress Looks Like A Traffic Cone","http://www.whatsonweibo.com/when-your-dress-looks-like-a-traffic-cone/",2015-10-16,"Weibo user Li Tiegang recently noticed some strange things on the streets of urban China, as some people seem to become one with their surroundings.","Manya Koetse"
"206","Woman Attacked by Dogs After Saving Little Girl: Plot Twist","http://www.whatsonweibo.com/woman-attacked-by-dogs-after-saving-little-girl-with-plot-twist/",2015-10-20,"A young woman from Anhui became the victim of a vicious dog attack when she tried to save a little girl from being bitten. After the girl ran away, the dogs attacked the woman instead, leading to severe paralysis of her arms and legs – according to Chinese media. The incident went viral, and many netizens donated money for hospital bills. But the story suddenly changed today.","Manya Koetse"
"207","Ministry of Culture Weibo Account Controversy","http://www.whatsonweibo.com/ministry-of-culture-weibo-account-controversy/",2015-10-24,"Only two weeks after China’s Ministry of Culture joined Sina Weibo, the account has become a hot topic. The online presence of the Ministry has sparked controversy, with many netizens ridiculing its media censorship. State media outlet People’s Daily stood up to defend the Ministry, and made an unexpected remark.","Manya Koetse"
"208","China’s Most Expensive Haircut","http://www.whatsonweibo.com/chinas-most-expensive-haircut/",2015-10-25,"A hair salon in Changsha, China, has taken its prices sky-high. One woman paid a staggering 38880 RMB (6120 US$) for a 15 minute haircut.","Manya Koetse"
"209","‘Angelababy’ Undergoes Medical Examination To Prove She Did Not Have Plastic Surgery","http://www.whatsonweibo.com/angelababy-undergoes-medical-examination-to-prove-she-did-not-have-plastic-surgery/",2015-10-26,"Popular actress and model ‘Angelababy’ underwent medical examination to prove that she has not had plastic surgery, leading to heated discussions on Chinese social media.","Jennifer Tang"
"210","Ai Wei Wei vs Lego: Chinese Media Respond","http://www.whatsonweibo.com/lego-vs-ai-wei-wei/",2015-10-27,"An issue involving Lego and Ai Wei Wei has caused controversy this week. The Danish toy manufacturer told the Chinese artist that he could not use Lego bricks for “political work”. China’s state news media respond with a remarkable article, telling Chinese dissidents not to overplay their hand.","Manya Koetse"
"211","“What? Holland Still Has A King?!” – The Dutch King’s Visit to China on Weibo","http://www.whatsonweibo.com/dutch-kings-visit-to-china/",2015-10-27,"The state visit of the Dutch King to China from Oct. 25 to 29 has received a lot of attention from the media in both China and The Netherlands. One of the reasons for the Chinese interest in the Dutch royals is the foreign concept of monarchy. On Weibo, Chinese netizens share their smartphone pics of the royal couple.","Manya Koetse"
"212","Has the End of China’s One-Child Policy Come Too Late?","http://www.whatsonweibo.com/has-chinas-two-child-policy-come-too-late/",2015-10-29,"“Has the time come to encourage Chinese people to have more kids?”, China’s Phoenix News recently wondered. That time has indeed come: the Communist Party of China (CPC) issued an official statement on Oct 29 that all couples are now allowed to have two children. “Too late,” some experts say.","Manya Koetse"
"213","New Law Combats the ‘Yinao’ Phenomenon","http://www.whatsonweibo.com/new-law-combats-chinas-yinao-phenomenon/",2015-11-03,"China has launched a new law to cope with the increasing social problem of patient-doctor violence, also called the ‘Yinao’ Phenomenon. The growing violence of patients against medical staff has made being a doctor a dangerous job in China. The new law makes it possible to sentence hospital troublemakers to up to seven years in prison.","Yiying Fan"
"214","‘Diaper Proposal’ Goes Viral on Weibo","http://www.whatsonweibo.com/diaper-proposal-goes-viral-on-weibo/",2015-11-05,"It is a romantic dream for most women to see their lover kneeling down with a diamond ring and a bunch of beautiful roses. For one Guangzhou woman, however, this dream turned out somewhat different.","Jennifer Tang"
"215","The Power of China’s Internet Memes","http://www.whatsonweibo.com/the-power-of-chinas-internet-memes/",2015-11-08,"China’s Internet is full of catchphrases, in-jokes and other memes. While many are just for fun, others have a deeper meaning to them. China’s online memes can sometimes be a powerful tool to say what cannot be said.","Manya Koetse"
"216","Resignation Letter goes Viral: Woman Quits Job After End of One-Child Policy","http://www.whatsonweibo.com/resignation-letter-go-viral/",2015-11-09,"The resignation letter of one Ningbo woman has gone viral on Chinese social media. She wrote the letter after hearing about the end of China’s one-child policy.","Manya Koetse"
"217","Grass Mud Horse","http://www.whatsonweibo.com/grass-mud-horse/",2015-11-09,"null","Manya Koetse"
"218","China’s High-Speed Railway: Netizens Praise Excellent Service","http://www.whatsonweibo.com/the-service-of-chinas-high-speed-railways/",2015-11-11,"The personal account of one high-speed railway passenger went viral this week. His view: China’s high-speed railway staff should be praised more, as their service has become better than that of “developed countries”.","Manya Koetse"
"219","Chinese Ghost Cities Coming to Life","http://www.whatsonweibo.com/chinese-ghost-cities-coming-to-life/",2015-11-13,"Brand new skyscrapers and shopping malls, but silent streets and empty apartments. China’s so-called ‘ghost cities’ are a hot topic in the media nowadays. The city of Ordos, Inner Mongolia, is one of the most famous. This year, author Wade Shepard published a book about China’s ghost cities (Ghost Cities of China, 2015). Filmmakers Adam J. Smith and Song Ting made a documentary on the issue (The Land of Many Palaces, 2015). Are China’s ghost cities really dead? ","Manya Koetse"
"220","“Paris is a Battlefield” – Weibo Responses to Paris Attacks (updated)","http://www.whatsonweibo.com/paris-is-a-battlefield-paris-terror-on-weibo/",2015-11-14,"The horrific Paris attacks on Friday 13/11 have become a trending topic all over the world. On China’s Sina Weibo, netizens are responding with shock to the stunning wave of violence in the capital of France. The topic is also drawing criticism from Chinese bloggers for the way Europe is handling terrorism.","Manya Koetse"
"221","Trending on Weibo: “127 Million Chinese Men Suffer From Erectile Dysfunction”","http://www.whatsonweibo.com/127-million-chinese-men-suffer-from-ed/",2015-11-16,"Several Chinese media report that 127 million men in Mainland China above the age of 40 suffer from erectile dysfunction (ED). The news went trending on Weibo under the hashtag of “127 Million Chinese Male ED Patients” (#中国男性ED患者1.27亿#).","Manya Koetse"
"222","‘Leftover Woman’ Spends 16000¥ For Dating Site, Still Single","http://www.whatsonweibo.com/leftover-woman-spends-16000%c2%a5-for-dating-site-still-single/",2015-11-18,"A 41-year-old woman who spent over 16000 Chinese yuan (±2500 US$) in service fees to a matchmaking company is still single. She is now suing the company.","Manya Koetse"
"223","Average Chinese Gets Married At 26","http://www.whatsonweibo.com/average-chinese-gets-married-at-26/",2015-11-22,"Although Chinese society has rapidly changed over the past decades, little seems to have changed in when people get married and how the household is managed. A new report points out that the majority of Chinese people get married around the age of 26, and live within traditional family and household structures.","Manya Koetse"
"224","We Want Milk! Australian Baby Formula Sold Out Due to Chinese Demand","http://www.whatsonweibo.com/we-want-milk-australian-baby-formula-sold-out-due-to-chinese-demand/",2015-11-26,"The great demand for milk powder in mainland China has led to baby formula shortages in different countries. The major milk shopping spree on China’s Singles Day has now left the shelves in Australia empty. The milk shortages lead to heated online discussions, both in Australia and in China.","Jennifer Tang"
"225","Why Marketing is to Blame for China’s Breastfeeding Problem","http://www.whatsonweibo.com/why-marketing-is-to-blame-for-chinas-breastfeeding-problem/",2015-11-27,"The milk scandals of the past decade have made Chinese parents reluctant to trust the safety of domestically produced milk powder. But with 20 million babies born in China every year, and only a quarter of them being breastfed, the demand for baby formula is enormous. It had led to empty shelves in Hong Kong, The Netherlands and Australia; China’s milk crisis has become an international one. The most important underlying question to the issue is: why are breastfeeding rates so low in China? ","Manya Koetse"
"226","China’s Neglected Problem: Student Kicked Out for Being Autistic","http://www.whatsonweibo.com/in-china-students-kicked-out-for-being-autistic/",2015-11-28,"A young boy from Henan was sent away from school for being autistic, leading to furious reactions from Chinese netizens. China’s education system is failing our children with special needs, they say.","Yiying Fan"
"227","Weibo Star Yao Chen: From United Nations To Pirelli","http://www.whatsonweibo.com/weibo-star-yao-chen-from-united-nations-to-pirelli/",2015-12-02,"China’s biggest Weibo star has made it to the world’s most famous calendar: Pirelli. Instead of naked supermodels, this year’s edition featured fully clad women chosen for their achievements. “A cultural shift”, some say.","Elsbeth v Paridon"
"228","Beijing’s First-Ever Red Alert for Smog","http://www.whatsonweibo.com/beijings-first-ever-red-alert-for-smog/",2015-12-07,"During the evening of December 7th, Beijing government announced its first-ever red alert for smog. Schools are required to close and a limited amount of vehicles are allowed on the roads. The alert is on from December 8 (7:00) until December 10.","Manya Koetse"
"229","Weibo Controversy over “Beijing Subway Breastfeeding”","http://www.whatsonweibo.com/weibo-controversy-over-beijing-subway-breastfeeding/",2015-12-07,"Two separate events where women were publicly shamed for breastfeeding in public have caused controversy on Weibo. The issue attracted the attention of UNICEF and Beijing authorities. ","Yiying Fan"
"230","Beijing Red Alert for Smog (Update)","http://www.whatsonweibo.com/beijing-red-alert-for-smog-update/",2015-12-08,"null","Manya Koetse"
"231","Chinese Man Joins Fight Against ISIS After Girlfriend Breaks Up","http://www.whatsonweibo.com/chinese-man-joins-fight-against-isis-after-girlfriend-breaks-up/",2015-12-11,"A 25-year-old man from China’s Sichuan Province has traveled to Syria to fight against ISIS after the relationship with his girlfriend stranded. He is the first Chinese citizen to join the fight against ISIS.","Manya Koetse"
"232","He Sui & Ming Xi Rocking Victoria Secret Runway","http://www.whatsonweibo.com/he-sui-ming-xi-rocking-victoria-secret-runway/",2015-12-13,"null","Elsbeth v Paridon"
"233","China’s Year-end Bonus Game Has Just Started","http://www.whatsonweibo.com/chinas-year-end-bonus-game-has-just-started/",2015-12-13,"The end of the year is approaching. This means that Chinese employees start to look forward to their annual year-end bonuses (年终奖). It is a tradition in China that can be both stressful and pleasant for full-time workers: is the boss finally giving out that promised bonus, or do they have to wait another season?","Yiying Fan"
"234","Lost Your Paper Train Ticket? Your E-ticket Won’t Get You on Board","http://www.whatsonweibo.com/lost-your-paper-train-ticket-your-e-ticket-wont-get-you-on-board/",2015-12-15,"A Chinese man who lost his paper train ticket and was refused to get on board with his digital confirmation has sued the Railway Bureau. Today, the judge ruled against him, stating that the issued e-ticket cannot replace the paper one.","Manya Koetse"
"235","The Comeback of Calligraphy in China","http://www.whatsonweibo.com/the-comeback-of-calligraphy-in-china/",2015-12-17,"In the digital age, calligraphy has not just maintained its relevancy in China; it has made a comeback. Calligraphy researcher Laura Vermeeren talks about the power of calligraphy and the status quo of this ancient art in modern China.","Manya Koetse"
"236","Netizens Upset over Chinese Harvard Girl News Story","http://www.whatsonweibo.com/netizens-upset-over-chinese-harvard-girl-news-story/",2015-12-18,"The news that an ordinary Chinese high school girl from Hangzhou was accepted by Harvard University created a stir amongst Chinese netizens on Sina Weibo this week. Thousands of Weibo users criticized the Chinese media for hiding information from the public when it turned out that the girl is actually a US citizen from a wealthy family.","Yiying Fan"
